SKU,MEL,SYD,PER,JET
BS-UNI-ST-BLK,,,,
FL240WS-Unipallet,,,,
FL400WS-Unipallet,,,,
FL560WS-Unipallet,,,,
HL150WS-Unipallet,,,,
RL240WS-Unipallet,,,,
SPIKE-BOX,,,,
SPIKE-BOX-BLK,,,,
FL150GS-Unipallet,,,,
HL100WS-Unipallet,,,,
RL400WS-Unipallet,,,,
RL560WS-Unipallet,,,,
FL560GS-Unipallet,,,,
RL075WS-Unipallet,,,,
RL075GS-Unipallet,,,,
FL400GS-Unipallet,,,,
HL100GS-Unipallet,,,,
HL150GS-Unipallet,,,,
RL240GS-Unipallet,,,,
RL400GS-Unipallet,,,,
RL560GS-Unipallet,,,,
FL240GS-Unipallet,,,,
RIB400MS-BLK,,,,
RIB400MS,,,,80
SPIKE,659,,2993,1876
FL400WS,18,,11,40
BS-UNI-ST,224,,96,210
RL075WS,70,,,210
FL240WS,1,,30,
FL100WS-Unipallet,,,,
RL100WS-Unipallet,,,,
SC-PEG-WS-BLK,,,,
RL150WS-Unipallet,,,,
FL075WS-Unipallet,,,,
FL150WS-Unipallet,,,,
SC-PEG-WS-3,,,14,
FL185WS-Unipallet,,,,
RL185WS-Unipallet,,,,
SC-PEG-WS,4890,,660,1740
FL100WS,660,,120,70
FL150WS-CRNR-BLK,,,,
FL150WS-CRNR,96,,,40
RL100WS,270,,,
TSCZ12G-B50-BLK,,,,
TSCZ12G-B50,184,,-1,95
FL150WS,650,,,350
FHL-UCSI-560-BLK,,,,
RL100GS-Unipallet,,,,
FL075GS-Unipallet,,,,
FL100GS-Unipallet,,,,
FL185GS-Unipallet,,,,
RL150GS-Unipallet,,,,
RL185GS-Unipallet,,,,
SC-PEG-GS-BLK,,,,
FHL-UCSI-560,60,,-4,
FL100GS,70,,,
SC-PEG-GS,210,,450,
FL400GS,,,-5,
FL560GS,,,-6,
POST-1100,216,,38,40
POST-1100-BLK,,,,
RL150WS,,,,180
RL240WS,,,,
RL400WS,10,,37,60
FHL400WS-1000,,,,
FHL400WS-1000-BLK,,,,
FHL560WS-2000,,,-4,
FHL560WS-2000-BLK,,,,
FHL560WS-800,30,,,
FHL560WS-800-BLK,,,,
FL240GS-CRNR-SET,,,,
FL240GS-CRNR-SET-BLK,,,,
FHL400WS-400,,,,
FHL400WS-400-BLK,,,,
FHL400WS-600,,,,
FHL400WS-600-BLK,,,,
HL150WS,,,18,13
RL560WS,-20,,10,
POST-470,420,,260,628
POST-470-BLK,,,,
FL560WS-CRNR-SET,,,,
FL560WS-CRNR-SET-BLK,,,,
FL240WS-CRNR-SET,,,,
FL240WS-CRNR-SET-BLK,,,,
FL400WS-CRNR-SET,,,,
FL400WS-CRNR-SET-BLK,,,,
FL100WS-CRNR,,,,
FL075WS,,,,100
FL100WS-CRNR-BLK,,,,
FHL560WS-600-BLK,,,,
FL150GS-CRNR-BLK,,,,
FL150HSB-BLK,,,,
HL100GS-CRNR-BLK,,,,
HL100WS-CRNR-BLK,,,,
HL150GS-CRNR-BLK,,,,
RIB400FHL-BLK,,,,
RIB560FHL-BLK,,,,
RL075GS-CRNR-BLK,,,,
TSCZ12G-B250-BLK,,,,
FHL560WS-400-BLK,,,,
TSDM12G-B50-BLK,,,,
TSDM12G-B250-BLK,,,,
RL075WS-CRNR-BLK,,,,
FL400WS-SLV-BLK,,,,
FL560WS-SLV-BLK,,,,
ANCHOR-SET-FL-PRTS-BLK,,,,
FHL560WS-1200-BLK,,,,
FHL400WS-1200-BLK,,,,
FHL-UCSI-400-BLK,,,,
FHL-UCSE-WS560-BLK,,,,
FHL-BS-BLK,,,,
FHL-UCSE-WS400-BLK,,,,
FHL400JS-WS-BLK,,,,
FHL560JS-WS-BLK,,,,
FL240WS-SLV-BLK,,,,
TSDM12G-B20-BLK,,,,
PEG-GS-HD-BLK,,,,
PEG-WS-HD-BLK,,,,
RIB240MS-BLK,,,,
FHL400WS-800-BLK,,,,
HL150WS-CRNR-BLK,,,,
FHL560WS-1000-BLK,,,,
FL400GS-CRNR-SET-BLK,,,,
FL400GS-SLV-BLK,,,,
FL560GS-CRNR-SET-BLK,,,,
FL560GS-SLV-BLK,,,,
FHL400WS-2000-BLK,,,,
DB8-2PCK-BLK,,,,
TSCZ12G-B20-BLK,,,,
RIB560GS-BLK,,,,
RIB560MS-BLK,,,,
FL100HSB-BLK,,,,
FL240GS-SLV-BLK,,,,
FL100GS-CRNR-BLK,,,,
RIB400GS-BLK,,,,
RP-FL150WS-BLK,,,,
FL150GS,,,150,
FL560WS,,,20,20
FL560WS-SLV,,,,
RL075WS-CRNR,,,,
FL400WS-SLV,,,,
FL240WS-SLV,,,,
TSCZ12G-B250,,,,
TSDM12G-B250,,,,
RL100GS,,,,
FHL400WS-1200,,,,
FHL560WS-1200,,,-2,
HL100WS,22,,,43
RL075GS,,,,
TSDM12G-B50,,,,
HL100WS-CRNR,,,,16
FHL400WS-2000,,,,14
RP-FL150WS,,,,
ANCHOR-SET-FL-PRTS,220,,140,
FHL400JS-WS,,,,
FHL560JS-WS,,,-2,
FHL-UCSI-400,,,,
FHL-BS,,,-1,
FHL-UCSE-WS560,,,,
FHL-UCSE-WS400,,,,
RIB560FHL,,,-4,100
RIB240MS,,,,100
PEG-WS-HD,,,,210
FHL560WS-1000,,,,
FHL400WS-800,,,,
TSDM12G-B20,,,,
SC-PEG-GS-3,,,,
RL150GS,,,,
FHL560WS-600,,,,
FHL560WS-400,50,,,
PEG-GS-HD,,,,210
FL560GS-SLV,,,,
FL560GS-CRNR-SET,,,,
FL400GS-SLV,,,,
FL400GS-CRNR-SET,,,,
RIB560MS,,,,40
TSCZ12G-B20,,,,
DB8-2PCK,,,,
RIB560GS,,,,
HL150WS-CRNR,,,,
RIB400GS,,,,
FL240GS-SLV,,,,
FL240GS,,,,
FL075GS,,,,
FL150HSB,,,,
FL100HSB,,,,
RL400GS,,,20,
HL150GS,,,18,
RL240GS,,,,
RL560GS,,,,
FL075GS-SMPL,,,,
FL100GS-CRNR,,,,
FL150GS-SMPL,,,,
FL150GS-CRNR,,,,
FL560GS-CRNR,,,,
HL100GS-CRNR,,,,
HL100GS,,,,
RL075GS-CRNR,,,,
RIB400FHL,,,,100
HL150GS-CRNR,,,,
FL400GS-CRNR,,,,
