SKU,Bulk Quantity,Material,ReqScrew,ScrewType,FreePegs,FreeSpike,Bulk SKU,Manage Stock
FL075WS,,Weathering steel,2,zinc,,4,FL075WS-Unipallet,TRUE
FL075WS-Unipallet,70,Weathering steel,140,zinc,,,,TRUE
FL075GS,,Galvanised steel,2,dacromet,,4,FL075GS-Unipallet,TRUE
FL075GS-Unipallet,70,Galvanised steel,140,dacromet,,,,TRUE
FL100WS,,Weathering steel,2,zinc,1,,FL100WS-Unipallet,TRUE
FL100WS-Unipallet,70,Weathering steel,140,zinc,,,,TRUE
FL100GS,,Galvanised steel,2,dacromet,1,,FL100GS-Unipallet,TRUE
FL100GS-Unipallet,70,Galvanised steel,140,dacromet,,,,TRUE
FL150WS,,Weathering steel,2,zinc,1,,FL150WS-Unipallet,TRUE
FL150WS-Unipallet,50,Weathering steel,100,zinc,,,,TRUE
FL150GS,,Galvanised steel,2,dacromet,1,,FL150GS-Unipallet,TRUE
FL150GS-Unipallet,50,Galvanised steel,100,dacromet,,,,TRUE
FL240WS,,Weathering steel,,,,5,FL240WS-Unipallet,TRUE
FL240WS-Unipallet,30,Weathering steel,,,,,,TRUE
FL240GS,,Galvanised steel,,,,5,FL240GS-Unipallet,TRUE
FL240GS-Unipallet,30,Galvanised steel,,,,,,TRUE
FL400WS,,Weathering steel,,,,5,FL400WS-Unipallet,TRUE
FL400WS-Unipallet,20,Weathering steel,,,,,,TRUE
FL400GS,,Galvanised steel,,,,5,FL400GS-Unipallet,TRUE
FL400GS-Unipallet,20,Galvanised steel,,,,,,TRUE
FL560WS,,Weathering steel,,,,5,FL560WS-Unipallet,TRUE
FL560WS-Unipallet,10,Weathering steel,,,,,,TRUE
FL560GS,,Galvanised steel,,,,5,FL560GS-Unipallet,TRUE
FL560GS-Unipallet,10,Galvanised steel,,,,,,TRUE
RL075WS,,Weathering steel,2,zinc,,4,RL075WS-Unipallet,TRUE
RL075WS-Unipallet,70,Weathering steel,140,zinc,,,,TRUE
RL075GS,,Galvanised steel,2,dacromet,,4,RL075GS-Unipallet,TRUE
RL075GS-Unipallet,70,Galvanised steel,140,dacromet,,,,TRUE
RL100WS,,Weathering steel,2,zinc,1,,RL100WS-Unipallet,TRUE
RL100WS-Unipallet,70,Weathering steel,140,zinc,,,,TRUE
RL100GS,,Galvanised steel,2,dacromet,1,,RL100GS-Unipallet,TRUE
RL100GS-Unipallet,70,Galvanised steel,140,dacromet,,,,TRUE
RL150WS,,Weathering steel,2,zinc,1,,RL150WS-Unipallet,TRUE
RL150WS-Unipallet,50,Weathering steel,100,zinc,,,,TRUE
RL150GS,,Galvanised steel,2,dacromet,1,,RL150GS-Unipallet,TRUE
RL150GS-Unipallet,50,Galvanised steel,100,dacromet,,,,TRUE
RL240WS,,Weathering steel,,,,5,RL240WS-Unipallet,TRUE
RL240WS-Unipallet,30,Weathering steel,,,,,,TRUE
RL240GS,,Galvanised steel,,,,5,RL240GS-Unipallet,TRUE
RL240GS-Unipallet,30,Galvanised steel,,,,,,TRUE
RL400WS,,Weathering steel,,,,5,RL400WS-Unipallet,TRUE
RL400WS-Unipallet,20,Weathering steel,,,,,,TRUE
RL400GS,,Galvanised steel,,,,5,RL400GS-Unipallet,TRUE
RL400GS-Unipallet,20,Galvanised steel,,,,,,TRUE
RL560WS,,Weathering steel,,,,5,RL560WS-Unipallet,TRUE
RL560WS-Unipallet,10,Weathering steel,,,,,,TRUE
